Timestamp,Input,Output,Coordinates,Exchanges_Available,Category,Tags,Texture,Name
2025-12-26T14:06:56.645033,3 Iron Ingot,1 Player Head,"3378,62,5090",T,Food,,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvMTU5MWI2MTUyOWQyNWE3ZWNkNmJlYzAwOTQ4ZTZmZTE1NWUzMDA3ZjJkN2ZlNTU5ZjNhODNjNmY4MDhlNDM0ZCJ9fX0=,Crate of Food
2025-12-26T14:06:58.694114,3 Iron Ingot,1 Player Head,"3380,62,5090",T,Lasers/Arrows,,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvYmI3MmFkODM2OWViNmNkODk5MGNlYzFmNTRkMTc3ODQ0MmExMDhiMDE4NjYyMmM1OTE4ZWI4NTE1OWUyZmI5ZSJ9fX0=,Traffic Light (X) 
2025-12-26T14:07:00.236595,1 Diamond,1 Player Head,"3381,62,5090",F,Lasers/Arrows,,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvZjU2MWIxNzliNmJjMDY5NTZkMDRmNDY2OTJiNzUzM2I4NzE3MTM3NGM3NTI3MzA4NWFiMmE2ZmVkYjk3Y2JiNCJ9fX0=,Warning Lamp (Green)
2025-12-26T14:07:01.888661,1 Diamond,1 Player Head,"3382,62,5090",T,Lasers/Arrows,,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvOGUyYzE4YWIzNTk0OWJmOWY5ZTdkNmE2OWI4ODVjY2Q4Y2MyZWZiOTQ3NTk0NmQ3ZDNmYjVjM2ZlZjYxIn19fQ==,Warning Lamp (Red)
2025-12-26T14:07:03.471424,1 Diamond,1 Player Head,"3383,62,5090",T,Lasers/Arrows,,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvNDgzMDBjM2EyYjNhNGRmNDRhNmE1OWM3NTY2YjlhMmYxYTdkNWFlOTcxOWEwZWQzZGE1MGZmNWY4ZDViY2E4ZiJ9fX0=,Warning Lamp (Orange)
2025-12-26T14:07:05.747337,1 Diamond,1 Player Head,"3383,65,5090",T,Lasers/Arrows,,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvN2EyYzEyY2IyMjkxODM4NGUwYTgxYzgyYTFlZDk5YWViZGNlOTRiMmVjMjc1NDgwMDk3MjMxOWI1NzkwMGFmYiJ9fX0=,Traffic Light (Left) 
2025-12-26T14:07:07.294750,1 Diamond,1 Player Head,"3382,65,5090",F,Lasers/Arrows,,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvNzczMzRjZGRmYWI0NWQ3NWFkMjhlMWE0N2JmOGNmNTAxN2QyZjA5ODJmNjczN2RhMjJkNDk3Mjk1MjUxMDY2MSJ9fX0=,Traffic Light (Up) 
2025-12-26T14:07:08.648731,1 Diamond,1 Player Head,"3381,65,5090",F,Lasers/Arrows,,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvMjkxYWM0MzJhYTQwZDdlN2E2ODdhYTg1MDQxZGU2MzY3MTJkNGYwMjI2MzJkZDUzNTZjODgwNTIxYWYyNzIzYSJ9fX0=,Traffic Light (Right) 
2025-12-26T14:07:11.585246,3 Iron Ingot,1 Player Head,"3377,62,5090",T,Food,,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvZTZlY2FkZDM5NmNhMTg3ZmI2YmE4ZTY3MTA1MTRmODA1MjE2ZDAxNzlmYzJkY2NmYzdjYzgxOGIyZDU3Mjk5NyJ9fX0=,Pink Donut
2025-12-26T14:07:13.394252,3 Iron Ingot,1 Player Head,"3377,65,5090",T,Food,,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvMmIyMTYxN2QyNzU1YmMyMGY4ZjdlMzg4ZjQ5ZTQ4NTgyNzQ1ZmVjMTZiYjE0Yzc3NmY3MTE4Zjk4YzU1ZTgifX19,Candycane
2025-12-26T14:07:15.204042,3 Iron Ingot,1 Player Head,"3378,65,5090",T,Food,,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvNDBmNDg1NTkzNjc3YWFiMjhkYmNhNDViMTAyMmYyMWIxYmM3ODk2YmM5ZmU0NDA2YWJlNGQ2MDcwNTc4MjYifX19,Gingerbread House
2025-12-26T14:07:25.466598,3 Iron Ingot,1 Player Head,"3366,59,5075",F,Halloween,,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvMTJlYTk2ZjU0MGYxNzFkNmY2ODQ0NjY5YjE3NTNjZjQ4YThmNDE1ZThiYzM3YzhlZThiZjU2MWNhNmUzMWYyOCJ9fX0=,
2025-12-26T14:07:37.826331,3 Iron Ingot,1 Player Head,"3376,65,5090",T,Food,,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvNWFmODFjNjc2NTgzOTM0ZDUxYjcxNDJjODdlZGFlNmM0OWM2ZjY3YWZmMTYzZGI0NTcyOTdmMDMzYzU5NjRmMiJ9fX0=,Belgian Beer
2025-12-26T14:07:40.066608,3 Iron Ingot,1 Player Head,"3376,62,5090",T,Food,,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvOTA0NzcxMzRkMmFjNTI1NjlmMDYyNzA3YjA0ZTRhMzdhNzBhOWZlZDYxMTBjN2QyZjE0NWY3NmJlMWNkODI2ZSJ9fX0=,Wildberry Pie
