Username,Weekly,Monthly,AllTime
Dragran,152.1,526.3,1769.1
BoatCat,125.4,276.2,3187.6
Greltam,120.6,586.9,8875.9
ArowShot,98.3,298.7,2776.6
demobottle12,96.7,316.8,1059.7
PrimusCore,89.5,183.4,183.4
toufudealer,88.5,124.2,124.2
Orinnari,84.7,219.9,7032.3
Lucinnefo,83.2,276.6,1324.5
Kingstell,81.3,86.2,1721.2
HikariiDesu,78.8,136.7,136.7
Walkers,76.9,294.6,7357.3
Anvil,74.6,140.7,4133.4
SQOpenSpellBook,74.6,178.4,2676.0
Pikabooos,74.5,214.0,933.3
lightningboi4,74.3,97.1,97.1
Dinosaur5470,70.0,70.0,70.0
stratmatt57,69.5,432.3,13477.9
TheCoolmanIsHer,68.9,190.2,932.4
borito185,68.9,163.0,586.5
bottlecqp,67.1,71.5,71.5
2milkcrates,66.9,175.7,233.7
MechanicalRift,64.8,80.5,8368.5
C32shark,64.4,211.7,577.5
anotnot,64.2,265.5,610.4
stashman1780,63.7,265.0,4482.8
MAGICMARS345,63.5,210.8,764.7
Azuziiiii,63.1,216.0,575.3
PergySkeel,60.9,198.7,3890.7
1Kayotic,60.7,225.5,1647.8
KingCrispy1003,60.4,122.5,213.5
Epictomatoface,60.3,187.9,1140.2
ihatefate,59.8,71.8,71.8
BylethSEisner,58.8,303.5,503.5
OldEraStory,58.6,300.4,1237.7
TheOneOfTheVoid,58.6,158.9,446.0
Eledion,58.4,61.4,61.4
NicoWhatever,57.8,109.0,187.8
what777,57.2,218.0,3173.3
Starbuck834,56.7,56.7,56.7
zolo17,56.2,250.3,6873.8
Endville360,55.9,59.2,59.2
sishi0417,53.1,113.2,187.3
PokeChaosLover,52.8,143.8,161.0
Dominater1230,52.1,133.4,189.1
OreStraya,50.4,134.8,3364.0
Shadno,50.4,95.5,5466.1
Ifriendiscool,49.8,98.8,807.1
ThereWalker,49.4,81.1,3047.4
Gladiatus13,49.4,222.9,1016.1
NocturnalDaedra,49.1,60.5,217.7
PrivatePorkchop,48.4,200.7,331.5
altegron,47.7,323.3,7312.8
SamTheBlow,47.6,261.3,513.6
dodgethekidd,47.2,228.4,1832.6
40mm,47.0,54.6,685.1
SugleTheBuggle,46.1,96.4,368.3
Malipan,46.1,58.0,58.0
nullDorito,45.8,58.9,281.2
Cerreckter,45.4,151.2,151.2
walleyefish,44.0,50.0,50.0
jwmgregory,43.9,58.9,62.9
BillIronGuy,43.9,89.8,89.8
GunslingerZach,43.8,141.7,356.1
meenos,43.1,399.8,4956.9
CapybaraLove90,42.9,148.0,185.4
1stampy,42.2,58.6,440.9
DonutMT,41.6,100.6,608.5
RatSlayer59,41.6,140.6,252.9
Ramheart28,41.4,41.4,644.2
2Lynx2,41.1,168.9,848.4
JaxKats,41.0,140.8,810.5
DexterHexter,41.0,41.0,41.0
Holve123,39.8,157.5,325.7
Sekubi,39.7,39.7,39.7
Alkanine,38.8,90.4,207.4
Rurfu,38.4,137.7,137.7
Supposed,38.0,135.2,670.9
HsmNewfriend,38.0,61.5,381.5
Rantha,38.0,38.0,38.0
fishsticks47,37.9,84.1,1225.7
ThreeApplesTall,37.9,131.7,198.6
Romanitos,37.7,57.5,630.1
RipoffPingu,37.6,51.4,449.9
DuskAdmiral,37.6,89.5,269.0
jonaw2005,37.4,37.4,37.4
facocero09,37.2,78.6,463.3
MilesDust,37.1,44.8,219.6
AXSLD,36.6,97.3,715.4
BasicallyAGungan,36.5,133.9,1064.6
Ferohan11,36.5,199.2,1117.8
CaptainChip501st,36.4,107.8,452.9
lalibo,36.3,157.7,833.0
Coopernicus3116,36.3,123.8,485.7
Nickname1022,36.2,85.8,85.8
Dant481heman,35.0,142.6,689.4
