Input,Output,Tags,Shop Name,Coords,Contact (IGN),City
1 Iron Block,2 CI Obsidian,"Blocks, Defense",Shirohabra,"3287, 5014",Griffsupershot,Shiroyama
32 Iron Blocks,1 CS Obsidian,"Blocks, Defense",Shirohabra,"3287, 5014",Griffsupershot,Shiroyama
19 Diamonds,1 CS Obsidian,"Blocks, Defense",Shirohabra,"3287, 5014",Griffsupershot,Shiroyama
15 Iron Ingot,1 5-Star Sake,Brews,The Drunken,"3190, 4790",HPLaptop,Shiroyama
10 Iron Ingot,1 5-Star Cider,Brews,The Drunken,"3190, 4790",HPLaptop,Shiroyama
20 Iron Ignot,1 4-Star Stately Red Wine,Brews,The Drunken,"3190, 4790",HPLaptop,Shiroyama
48 Raw Iron,70 Iron Ingots,Resources,MitsuMitsu Mystery Corp,"3190, 4813",HPLaptop,Shiroyama
5 Iron Ingot,1 Player Head,Blocks,MitsuMitsu Mystery Corp,"3190, 4813",HPLaptop,Shiroyama
5 Iron Ingot,4 Honeycomb,Mob Drops,MitsuMitsu Bee Emporium,"3195, 4823",HPLaptop,Shiroyama
4 Iron Ingot,1 Honeyblock,Blocks,MitsuMitsu Bee Emporium,"3195, 4823",HPLaptop,Shiroyama
1 Diamond,3 Honeyblock,Blocks,MitsuMitsu Bee Emporium,"3195, 4823",HPLaptop,Shiroyama
4 Iron Ingot,4 Honeycomb Block,"Mob Drops, Defense",MitsuMitsu Bee Emporium,"3195, 4823",HPLaptop,Shiroyama
3 Iron Ingot,1 Honey Bottle,Mob Drops,MitsuMitsu Bee Emporium,"3195, 4823",HPLaptop,Shiroyama
9 Diamonds,1 Beacon,"Blocks, Defense",Mitsu Diamond Corp,"3205, 4826",HPLaptop,Shiroyama
3 Diamonds,1 Diamond Helmet,Armor,Mitsu Diamond Corp,"3205, 4826",HPLaptop,Shiroyama
6 Diamonds,1 Diamond Chestplate,Armor,Mitsu Diamond Corp,"3205, 4826",HPLaptop,Shiroyama
4 Diamonds,#REF!,Armor,Mitsu Diamond Corp,"3205, 4826",HPLaptop,Shiroyama
2 Diamonds,#REF!,Armor,Mitsu Diamond Corp,"3205, 4826",HPLaptop,Shiroyama
32 Iron Ingot,"Mapart Kanagawa Left
",Creative Works,Kourindo,"3228, 4835",HPLaptop,Shiroyama
2 Diamonds,"Mapart Kanagawa Left
",Creative Works,Kourindo,"3228, 4835",HPLaptop,Shiroyama
16 Iron Ingot,Mapart Kanagawa Right,Creative Works,Kourindo,"3228, 4835",HPLaptop,Shiroyama
1 Diamond,Mapart Kanagawa Right,Creative Works,Kourindo,"3228, 4835",HPLaptop,Shiroyama
1 Iron Ingot,#REF!,Blocks,MofuMofu,"3194, 4836",Public Enterprise (Bronnakus),Shiroyama
1 Iron Ingot,#REF!,Blocks,MofuMofu,"3194, 4836",Public Enterprise (Bronnakus),Shiroyama
1 Iron Ingot,#REF!,Blocks,MofuMofu,"3194, 4836",Public Enterprise (Bronnakus),Shiroyama
1 Iron Ingot,#REF!,Blocks,MofuMofu,"3194, 4836",Public Enterprise (Bronnakus),Shiroyama
1 Iron Ingot,#REF!,Blocks,MofuMofu,"3194, 4836",Public Enterprise (Bronnakus),Shiroyama
1 Iron Ingot,#REF!,Blocks,MofuMofu,"3194, 4836",Public Enterprise (Bronnakus),Shiroyama
1 Iron Ingot,#REF!,Blocks,MofuMofu,"3194, 4836",Public Enterprise (Bronnakus),Shiroyama
1 Iron Ingot,#REF!,Blocks,MofuMofu,"3194, 4836",Public Enterprise (Bronnakus),Shiroyama
1 Iron Ingot,#REF!,Blocks,MofuMofu,"3194, 4836",Public Enterprise (Bronnakus),Shiroyama
1 Iron Ingot,#REF!,Blocks,MofuMofu,"3194, 4836",Public Enterprise (Bronnakus),Shiroyama
1 Iron Ingot,#REF!,Blocks,MofuMofu,"3194, 4836",Public Enterprise (Bronnakus),Shiroyama
1 Iron Ingot,#REF!,Blocks,MofuMofu,"3194, 4836",Public Enterprise (Bronnakus),Shiroyama
1 Iron Ingot,#REF!,Blocks,MofuMofu,"3194, 4836",Public Enterprise (Bronnakus),Shiroyama
1 Iron Ingot,#REF!,Blocks,MofuMofu,"3194, 4836",Public Enterprise (Bronnakus),Shiroyama
1 Iron Ingot,#REF!,Blocks,MofuMofu,"3194, 4836",Public Enterprise (Bronnakus),Shiroyama
1 Iron Ingot,#REF!,Blocks,MofuMofu,"3194, 4836",Public Enterprise (Bronnakus),Shiroyama
3-7 Iron Ingot (Floating),#REF!,Blocks,Wood Exchange,"3171, 4824",Greltam,Shiroyama
#REF!,2-6 Iron Ingot (Floating),Resources,Wood Exchange,"3171, 4824",Greltam,Shiroyama
2-6 Iron Ingot (Floating),#REF!,Blocks,Wood Exchange,"3171, 4824",Greltam,Shiroyama
#REF!,1-5 Iron Ingot (Floating),Resources,Wood Exchange,"3171, 4824",Greltam,Shiroyama
4-12 Iron Ingot (Floating),#REF!,Blocks,Wood Exchange,"3171, 4824",Greltam,Shiroyama
#REF!,3-11 Iron Ingot (Floating),Resources,Wood Exchange,"3171, 4824",Greltam,Shiroyama
2-6 Iron Ingot (Floating),#REF!,Blocks,Wood Exchange,"3171, 4824",Greltam,Shiroyama
#REF!,1-5 Iron Ingot (Floating),Resources,Wood Exchange,"3171, 4824",Greltam,Shiroyama
2-6 Iron Ingot (Floating),#REF!,Blocks,Wood Exchange,"3171, 4824",Greltam,Shiroyama
#REF!,1-5 Iron Ingot (Floating),Resources,Wood Exchange,"3171, 4824",Greltam,Shiroyama
2-6 Iron Ingot (Floating),#REF!,Blocks,Wood Exchange,"3171, 4824",Greltam,Shiroyama
